STAR version=2.7.10b
STAR compilation time,server,dir=2022-11-01T09:53:26-04:00 :/home/dobin/data/STAR/STARcode/STAR.master/source
STAR git: On branch master ; commit c6f8efc2c7043ef83bf8b0d9bed36bbb6b9b1133 ; diff files: CHANGES.md 
##### Command Line:
STAR --runThreadN 12 --runMode genomeGenerate --genomeDir star_index_hg38 star_index_grch38 --genomeFastaFiles grch38.primary_assembly.fa --sjdbGTFfile gencode.v42.primary_assembly.annotation.gtf
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runThreadN                    12     ~RE-DEFINED
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     star_index_hg38     ~RE-DEFINED
genomeFastaFiles              grch38.primary_assembly.fa        ~RE-DEFINED
sjdbGTFfile                   gencode.v42.primary_assembly.annotation.gtf     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
runThreadN                        12
genomeDir                         star_index_hg38
genomeFastaFiles                  grch38.primary_assembly.fa   
sjdbGTFfile                       gencode.v42.primary_assembly.annotation.gtf

-------------------------------
##### Final effective command line:
STAR   --runMode genomeGenerate      --runThreadN 12   --genomeDir star_index_hg38   --genomeFastaFiles grch38.primary_assembly.fa      --sjdbGTFfile gencode.v42.primary_assembly.annotation.gtf
----------------------------------------

Number of fastq files for each mate = 1
ParametersSolo: --soloCellFilterType CellRanger2.2 filtering parameters:  3000 0.99 10
Finished loading and checking parameters
--genomeDir directory exists and will be overwritten: star_index_hg38/
Jan 19 13:07:26 ... starting to generate Genome files
grch38.primary_assembly.fa : chr # 0  "chr1" chrStart: 0
grch38.primary_assembly.fa : chr # 1  "chr2" chrStart: 249036800
grch38.primary_assembly.fa : chr # 2  "chr3" chrStart: 491257856
grch38.primary_assembly.fa : chr # 3  "chr4" chrStart: 689700864
grch38.primary_assembly.fa : chr # 4  "chr5" chrStart: 880017408
grch38.primary_assembly.fa : chr # 5  "chr6" chrStart: 1061683200
grch38.primary_assembly.fa : chr # 6  "chr7" chrStart: 1232601088
grch38.primary_assembly.fa : chr # 7  "chr8" chrStart: 1391984640
grch38.primary_assembly.fa : chr # 8  "chr9" chrStart: 1537212416
grch38.primary_assembly.fa : chr # 9  "chr10" chrStart: 1675624448
grch38.primary_assembly.fa : chr # 10  "chr11" chrStart: 1809580032
grch38.primary_assembly.fa : chr # 11  "chr12" chrStart: 1944846336
grch38.primary_assembly.fa : chr # 12  "chr13" chrStart: 2078277632
grch38.primary_assembly.fa : chr # 13  "chr14" chrStart: 2192834560
grch38.primary_assembly.fa : chr # 14  "chr15" chrStart: 2300051456
grch38.primary_assembly.fa : chr # 15  "chr16" chrStart: 2402287616
grch38.primary_assembly.fa : chr # 16  "chr17" chrStart: 2492727296
grch38.primary_assembly.fa : chr # 17  "chr18" chrStart: 2576089088
grch38.primary_assembly.fa : chr # 18  "chr19" chrStart: 2656567296
grch38.primary_assembly.fa : chr # 19  "chr20" chrStart: 2715287552
grch38.primary_assembly.fa : chr # 20  "chr21" chrStart: 2779774976
grch38.primary_assembly.fa : chr # 21  "chr22" chrStart: 2826698752
grch38.primary_assembly.fa : chr # 22  "chrX" chrStart: 2877554688
grch38.primary_assembly.fa : chr # 23  "chrY" chrStart: 3033792512
grch38.primary_assembly.fa : chr # 24  "chrM" chrStart: 3091202048
grch38.primary_assembly.fa : chr # 25  "GL000008.2" chrStart: 3091464192
grch38.primary_assembly.fa : chr # 26  "GL000009.2" chrStart: 3091726336
grch38.primary_assembly.fa : chr # 27  "GL000194.1" chrStart: 3091988480
grch38.primary_assembly.fa : chr # 28  "GL000195.1" chrStart: 3092250624
grch38.primary_assembly.fa : chr # 29  "GL000205.2" chrStart: 3092512768
grch38.primary_assembly.fa : chr # 30  "GL000208.1" chrStart: 3092774912
grch38.primary_assembly.fa : chr # 31  "GL000213.1" chrStart: 3093037056
grch38.primary_assembly.fa : chr # 32  "GL000214.1" chrStart: 3093299200
grch38.primary_assembly.fa : chr # 33  "GL000216.2" chrStart: 3093561344
grch38.primary_assembly.fa : chr # 34  "GL000218.1" chrStart: 3093823488
grch38.primary_assembly.fa : chr # 35  "GL000219.1" chrStart: 3094085632
grch38.primary_assembly.fa : chr # 36  "GL000220.1" chrStart: 3094347776
grch38.primary_assembly.fa : chr # 37  "GL000221.1" chrStart: 3094609920
grch38.primary_assembly.fa : chr # 38  "GL000224.1" chrStart: 3094872064
grch38.primary_assembly.fa : chr # 39  "GL000225.1" chrStart: 3095134208
grch38.primary_assembly.fa : chr # 40  "GL000226.1" chrStart: 3095396352
grch38.primary_assembly.fa : chr # 41  "KI270302.1" chrStart: 3095658496
grch38.primary_assembly.fa : chr # 42  "KI270303.1" chrStart: 3095920640
grch38.primary_assembly.fa : chr # 43  "KI270304.1" chrStart: 3096182784
grch38.primary_assembly.fa : chr # 44  "KI270305.1" chrStart: 3096444928
grch38.primary_assembly.fa : chr # 45  "KI270310.1" chrStart: 3096707072
grch38.primary_assembly.fa : chr # 46  "KI270311.1" chrStart: 3096969216
grch38.primary_assembly.fa : chr # 47  "KI270312.1" chrStart: 3097231360
grch38.primary_assembly.fa : chr # 48  "KI270315.1" chrStart: 3097493504
grch38.primary_assembly.fa : chr # 49  "KI270316.1" chrStart: 3097755648
grch38.primary_assembly.fa : chr # 50  "KI270317.1" chrStart: 3098017792
grch38.primary_assembly.fa : chr # 51  "KI270320.1" chrStart: 3098279936
grch38.primary_assembly.fa : chr # 52  "KI270322.1" chrStart: 3098542080
grch38.primary_assembly.fa : chr # 53  "KI270329.1" chrStart: 3098804224
grch38.primary_assembly.fa : chr # 54  "KI270330.1" chrStart: 3099066368
grch38.primary_assembly.fa : chr # 55  "KI270333.1" chrStart: 3099328512
grch38.primary_assembly.fa : chr # 56  "KI270334.1" chrStart: 3099590656
grch38.primary_assembly.fa : chr # 57  "KI270335.1" chrStart: 3099852800
grch38.primary_assembly.fa : chr # 58  "KI270336.1" chrStart: 3100114944
grch38.primary_assembly.fa : chr # 59  "KI270337.1" chrStart: 3100377088
grch38.primary_assembly.fa : chr # 60  "KI270338.1" chrStart: 3100639232
grch38.primary_assembly.fa : chr # 61  "KI270340.1" chrStart: 3100901376
grch38.primary_assembly.fa : chr # 62  "KI270362.1" chrStart: 3101163520
grch38.primary_assembly.fa : chr # 63  "KI270363.1" chrStart: 3101425664
grch38.primary_assembly.fa : chr # 64  "KI270364.1" chrStart: 3101687808
grch38.primary_assembly.fa : chr # 65  "KI270366.1" chrStart: 3101949952
grch38.primary_assembly.fa : chr # 66  "KI270371.1" chrStart: 3102212096
grch38.primary_assembly.fa : chr # 67  "KI270372.1" chrStart: 3102474240
grch38.primary_assembly.fa : chr # 68  "KI270373.1" chrStart: 3102736384
grch38.primary_assembly.fa : chr # 69  "KI270374.1" chrStart: 3102998528
grch38.primary_assembly.fa : chr # 70  "KI270375.1" chrStart: 3103260672
grch38.primary_assembly.fa : chr # 71  "KI270376.1" chrStart: 3103522816
grch38.primary_assembly.fa : chr # 72  "KI270378.1" chrStart: 3103784960
grch38.primary_assembly.fa : chr # 73  "KI270379.1" chrStart: 3104047104
grch38.primary_assembly.fa : chr # 74  "KI270381.1" chrStart: 3104309248
grch38.primary_assembly.fa : chr # 75  "KI270382.1" chrStart: 3104571392
grch38.primary_assembly.fa : chr # 76  "KI270383.1" chrStart: 3104833536
grch38.primary_assembly.fa : chr # 77  "KI270384.1" chrStart: 3105095680
grch38.primary_assembly.fa : chr # 78  "KI270385.1" chrStart: 3105357824
grch38.primary_assembly.fa : chr # 79  "KI270386.1" chrStart: 3105619968
